Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Office + 5 BR, Movie Theater , Creve Coeur -10 Sleep surface",N/A,"{'latitude': 38.654998779296875, 'longitude': -90.47563934326172}",N/A,N/A,N/A,9,N/A
Private Home STL County/3 Bed/2 Bath/Saltwater Pool,N/A,"{'latitude': 38.61282730102539, 'longitude': -90.52476501464844}",N/A,https://www.vrbo.com/7366891ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,14,N/A
Private Home STL County\/3 Bed\/2 Bath\/Saltwater Pool,N/A,"{'latitude': 38.614681243896484, 'longitude': -90.52479553222656}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D116821151%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Landing at Waterford Manors - 2 Bedrooms in Valley Park,N/A,"{'latitude': 38.572330474853516, 'longitude': -90.47884368896484}",N/A,https://landing.holidayfuture.com/listings/223822?googleVR=1,N/A,N/A,N/A
Cute 2-Bed 2- Bath Cottage in Kirkwood MO,N/A,"{'latitude': 38.56174850463867, 'longitude': -90.39997100830078}",N/A,https://www.bluepillow.com/search?p_id=589dfcdb7c00cb10c8dac743&dest=bpvr&cat=House&accomodationids=62177daea7239796807df5b6,N/A,65,N/A
Landing at The Parq at Chesterfield - 2 Bedrooms in Chesterfield,N/A,"{'latitude': 38.64968490600586, 'longitude': -90.57020568847656}",N/A,https://www.vrbo.com/4194716?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Cottage of Castlewood,N/A,"{'latitude': 38.55668258666992, 'longitude': -90.54534149169922}",N/A,N/A,N/A,34,N/A
Woodbine - Cozy Kirkwood Home - 30 Day Rental,N/A,"{'latitude': 38.57406234741211, 'longitude': -90.41728973388672}",N/A,https://saintlouis.hospitable.rentals/property/cozy-home-in-kirkwood-30-day-rental,N/A,292,N/A
Cozy centrally located home.,N/A,"{'latitude': 38.59787368774414, 'longitude': -90.50431823730469}",N/A,https://www.booking.com/hotel/us/cozy-centrally-located-home-ballwin.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11130063_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11130063;utm_campaign=en,N/A,N/A,N/A
Landing at Reflection Cove Apartments - 1 Bedroom in Town And Country,N/A,"{'latitude': 38.59330368041992, 'longitude': -90.4841537475586}",N/A,https://landing.holidayfuture.com/listings/225217?googleVR=1,N/A,N/A,N/A
"Retro Ranch With Private Indoor Pool  Sauna <br>St Louis, MO",N/A,"{'latitude': 38.59727096557617, 'longitude': -90.55210876464844}",N/A,https://www.bluepillow.com/search?p_id=589dfd747c00cb10c8dacdfb&dest=bpvr&cat=House&accomodationids=62174eeea7239796806aacd5,N/A,213,N/A
Little House in Kirkwood,N/A,"{'latitude': 38.587867736816406, 'longitude': -90.4144515991211}",N/A,N/A,N/A,2,N/A
"Huntwood - Updated, 4 Bedroom, 2 Bath - Sleeps 12",N/A,"{'latitude': 38.56807327270508, 'longitude': -90.4264907836914}",N/A,https://saintlouis.hospitable.rentals/property/updated-4-bedroom-sleeps-12,N/A,88,N/A
"Retro Ranch With Private Indoor Pool & Sauna <br>St Louis, MO",N/A,"{'latitude': 38.5972785949707, 'longitude': -90.55211639404297}",N/A,N/A,N/A,227,N/A
2 Connecting Suites at a  Hotel,N/A,"{'latitude': 38.65428924560547, 'longitude': -90.5599365234375}",N/A,https://www.bluepillow.com/search?p_id=589dfd747c00cb10c8dacdfb&dest=bpex&cat=House&accomodationids=6233aaf94c4d8d9b9b7eced9,N/A,N/A,N/A
"Valley - 9 Beds, 3 TVs, Sleeps 14 - Luxury Stay.",N/A,"{'latitude': 38.53703689575195, 'longitude': -90.48812103271484}",N/A,https://saintlouis.hospitable.rentals/property/7-beds-3-tvs-sleeps-14-newly-renovated,N/A,66,N/A
Top Of Castlewood,N/A,"{'latitude': 38.549583435058594, 'longitude': -90.5536117553711}",N/A,N/A,N/A,25,N/A
Serenity Apartment,N/A,"{'latitude': 38.62791061401367, 'longitude': -90.52017211914062}",N/A,N/A,N/A,N/A,N/A
