Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Cozy 1 bedroom, 1 bathroom condo",N/A,"{'latitude': 29.995519638061523, 'longitude': -90.16507720947266}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad71d&dest=bpex&cat=Apartment&accomodationids=65cb807f3e6d928972f6ab90,N/A,N/A,N/A
Cozy and Private1-bedroom apartment in Metairie with WiFi  and other amenities,N/A,"{'latitude': 29.99909782409668, 'longitude': -90.2320327758789}",N/A,N/A,N/A,1,N/A
Convenient Kenner Unit with Patio - 1 Mi to Airport! - Holiday Home,N/A,"{'latitude': 30.011152267456055, 'longitude': -90.2679672241211}",N/A,N/A,N/A,N/A,N/A
"750 a month-furnished Kenner private 3 room studio, small yard, private,  safe!",N/A,"{'latitude': 30.025400161743164, 'longitude': -90.26405334472656}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad70a&dest=bpex&cat=Apartment&accomodationids=623377bf4c4d8d9b9b75bae1,N/A,N/A,N/A
All New Adorable Metairie Cottage Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976816177368164, 'longitude': -90.17359924316406}",N/A,N/A,N/A,1,N/A
La Plaza Apartments,N/A,"{'latitude': 29.99530029296875, 'longitude': -90.15879821777344}",N/A,https://www.super.com/travel/hotels/G4V6XYgl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Convenient Kenner Unit w\/ Patio - 1 Mi to Airport!,N/A,"{'latitude': 30.010099411010742, 'longitude': -90.269287109375}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D119699649%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Charming 2-bedroom house with AC, fitness room and WiFi in adorable Metairie",N/A,"{'latitude': 29.978708267211914, 'longitude': -90.2243881225586}",N/A,N/A,N/A,3,N/A
Super Clean and Convenient Apartment Convenient to NOLA and MSY ~ The Che'Leone,N/A,"{'latitude': 29.988740921020508, 'longitude': -90.24108123779297}",N/A,N/A,N/A,N/A,N/A
RAMADA LIMITED METAIRIE,N/A,"{'latitude': 30.000873565673828, 'longitude': -90.15489959716797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4027711%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
5 Mi to City Park: New Orleans Area Home,N/A,"{'latitude': 29.993370056152344, 'longitude': -90.15731048583984}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3774338&lc=google,N/A,3,N/A
Clean 2BR House w/ Arcade machine close to Airport!,N/A,"{'latitude': 30.032949447631836, 'longitude': -90.27446746826172}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad70a&dest=bpex&cat=House&accomodationids=65cb81323e6d928972f7034d,N/A,N/A,N/A
Charming cottage in Kenner with AC and WiFi. Enjoy your stay,N/A,"{'latitude': 29.975908279418945, 'longitude': -90.24304962158203}",N/A,https://www.vrbo.com/4173299?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Southern’s Beauty2 very close to airport,N/A,"{'latitude': 30.022422790527344, 'longitude': -90.26578521728516}",N/A,https://www.booking.com/hotel/us/southerns-beauty2-very-close-to-airport.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11602104_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11602104;utm_campaign=en,N/A,N/A,N/A
"Cozy private suit inside a home in awesome Kenner with AC, WiFi",N/A,"{'latitude': 30.027372360229492, 'longitude': -90.27880096435547}",N/A,N/A,N/A,N/A,N/A
Townhouse 3,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-3,N/A,N/A,N/A
Two bedroom apartment in the heart of Metairie,N/A,"{'latitude': 30.003801345825195, 'longitude': -90.17066955566406}",N/A,N/A,N/A,N/A,N/A
Amazing condo in Metairie,N/A,"{'latitude': 29.978090286254883, 'longitude': -90.19461059570312}",N/A,N/A,N/A,N/A,N/A
